path	author	header	created	sphere	topic	style	audience_age	audience_level	audience_size	source	publication	publ_year	medium	country	region	language
plain/2017/3/24/Бизнесменов Дубны примет глава администрации.txt	ОД	Бизнесменов Дубны примет глава администрации	24.03.2017	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/8-glavnoe/3504-biznesmenov-dubny-primet-glava-administratsii	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/24/Рыбаки ободрали теплотрассу, чтобы погреться.txt	Никита Крутиков	Рыбаки ободрали теплотрассу, чтобы погреться	24.03.2017	публицистика	ЖКХ	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zhkkh/3503-rybaki-obodrali-teplotrassu-chtoby-pogretsya	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/24/Бесхозных плотин в Подмосковье стало вдвое меньше.txt	Кирилл Свояков	Бесхозных плотин в Подмосковье стало вдвое меньше	24.03.2017	публицистика	Экономика	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/ekonomika/3502-beskhoznykh-plotin-v-podmoskove-stalo-vdvoe-menshe	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/24/Юрий Оганесян стал польским академиком.txt	ОД	Юрий Оганесян стал польским академиком	24.03.2017	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/3519-yurij-oganesyan-stal-polskim-akademikom	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/23/Мострансавто заключило антиаварийное соглашение с ГИБДД.txt	ОД	Мострансавто заключило антиаварийное соглашение с ГИБДД	23.03.2017	публицистика	Транспорт	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/transport/3501-mostransavto-zaklyuchilo-antiavarijnoe-soglashenie-s-gibdd	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/23/Мост в Дубне строится по графику.txt	Наталия Теряева	Мост в Дубне строится по графику	23.03.2017	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/3500-most-v-dubne-stroitsya-po-grafiku	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/23/Два открытия в ОИЯИ отпраздновали за один день.txt	Кирилл Свояков	Два открытия в ОИЯИ отпраздновали за один день	23.03.2017	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/3499-dva-otkrytiya-v-oiyai-otprazdnovali-za-odin-den	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/22/Чтобы не гибли дети на дорогах.txt	ОД	Чтобы не гибли дети на дорогах	22.03.2017	публицистика	Образование	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obrazovanie/3498-chtoby-ne-gibli-deti-na-dorogakh	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/22/Опасные грузы проверят в Дубне.txt	ОД	Опасные грузы проверят в Дубне	22.03.2017	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/8-glavnoe/3497-opasnye-gruzy-proveryat-v-dubne	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/22/В ОИЯИ лазают по стенам.txt	Антон Мележик	В ОИЯИ лазают по стенам	22.03.2017	публицистика	Спорт	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/sport/3496-v-oiyai-lazayut-po-stenam	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
