path	author	header	created	sphere	topic	style	audience_age	audience_level	audience_size	source	publication	publ_year	medium	country	region	language
plain/2018/10/27/В Дубне отметят Всемирный день борьбы с инсультом.txt	ОД	В Дубне отметят Всемирный день борьбы с инсультом	27.10.2018	публицистика	Здоровье	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zdorove/5890-v-dubne-otmetyat-vsemirnyj-den-borby-s-insultom	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/27/ОЭЗ «Дубна» и два ее резидента стали участниками кластера «Безопасность».txt	ОЭЗ «Дубна»	ОЭЗ «Дубна» и два ее резидента стали участниками кластера «Безопасность»	27.10.2018	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/5889-oez-dubna-i-dva-ee-rezidenta-stali-uchastnikami-klastera-bezopasnost	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/27/Непроводящий висмут с сурьмой оказался топологическим сверхпроводником.txt	Татьяна Небольсина	Непроводящий висмут с сурьмой оказался топологическим сверхпроводником	27.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5886-neprovodyashchij-vismut-s-surmoj-okazalsya-topologicheskim-sverkhprovodnikom	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/26/Семинары налоговой службы.txt	ИФНС №12	Семинары налоговой службы	26.10.2018	публицистика	Образование	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obrazovanie/5883-seminary-nalogovoj-sluzhby	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/26/В Дубне выявлены нелегальные такси.txt	ОД	В Дубне выявлены нелегальные такси	26.10.2018	публицистика	Безопасность	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/proisshestviya/5882-v-dubne-vyyavleny-nelegalnye-taksi	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/26/Польские делегаты в ОИЯИ.txt	Кирилл Свояков	Польские делегаты в ОИЯИ	26.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5880-polskie-delegaty	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/25/Проект ОИЯИ стал одним из лучших проектов молодых ученых России.txt	Кирилл Свояков	Проект ОИЯИ стал одним из лучших проектов молодых ученых России	25.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5875-proekt-oiyai-stal-odnim-iz-luchshikh-proektov-molodykh-uchenykh-rossii	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/25/Вакансии на 25 октября.txt	ЦЗН г. Дубны	Вакансии на 25 октября	25.10.2018	публицистика	Профессионал	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/professional/5878-vakansii-na-25-oktyabrya	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/25/Илья Франк самолет и человек.txt	Наталия Теряева	Илья Франк: самолет и человек	25.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5877-ilya-frank-samolet-i-chelovek	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/25/Об изменениях в Правила возврата водительского удостоверения.txt	ОГИБДД по г.о. Дубна	Об изменениях в Правила возврата водительского удостоверения	25.10.2018	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/avtomobil/5874-ob-izmeneniyakh-v-pravila-vozvrata-voditelskogo-udostovereniya	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/24/По инициативе резидента ОЭЗ Дубна восстановлен полигон Альтернативная энергетика.txt	"ОЭЗ ""Дубна"""	"По инициативе резидента ОЭЗ ""Дубна"" восстановлен полигон ""Альтернативная энергетика"""	24.10.2018	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/5866-po-initsiative-rezidenta-oez-dubna-vosstanovlen-poligon-alternativnaya-energetika	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/24/По указанию ГЖИ УК переодела трубы.txt	Кирилл Свояков	По указанию ГЖИ УК переодела трубы	24.10.2018	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/5873-po-ukazaniyu-gzhi-uk-pereodela-truby	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/24/Выбор дворов.txt	Администрация г. о. Дубна	Выбор дворов	24.10.2018	публицистика	ЖКХ	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zhkkh/5871-vybor-dvorov	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/24/Оценить качество оказания государственных услуг в налоговой инспекции помогают новые технологии .txt	ИФНС №12	Оценить качество оказания государственных услуг в налоговой инспекции помогают новые технологии 	24.10.2018	публицистика	Законы	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zakony/5870-otsenit-kachestvo-okazaniya-gosudarstvennykh-uslug-v-nalogovoj-inspektsii-pomogayut-novye-tekhnologii	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/23/В Дубне полицейские провели акцию Я за мир во всем мире.txt	И. Л. Михайлова	"В Дубне полицейские провели акцию ""Я за мир во всем мире"""	23.10.2018	публицистика	Образование	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obrazovanie/5865-v-dubne-politsejskie-proveli-aktsiyu-ya-za-mir-vo-vsem-mire	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/23/Госуслуги обучающий семинар для пенсионеров Дубны.txt	МФЦ г. Дубны	Госуслуги: обучающий семинар для пенсионеров Дубны	23.10.2018	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/5869-gosuslugi-obuchayushchij-seminar-dlya-pensionerov-dubny	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/23/Комсомол третья версия за сто лет.txt	Наталия Теряева	Комсомол: третья версия за сто лет	23.10.2018	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/5863-komsomol-tretya-versiya-za-sto-let	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/23/Завтра пройдет форум Управдом.txt	Администрация г. о. Дубна	"Завтра пройдет форум ""Управдом"""	23.10.2018	публицистика	ЖКХ	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zhkkh/5867-zavtra-projdet-forum-upravdom	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/23/Наши пловцы одержали победу на региональной спецолимпиаде.txt	ОД	Наши пловцы одержали победу на региональной спецолимпиаде	23.10.2018	публицистика	Спорт	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/sport/5868-nashi-plovtsy-vzyali-serebro-na-regionalnoj-spetsolimpiade	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/22/Школьники посещают лаборатории ОИЯИ.txt	Кирилл Свояков	Школьники посещают лаборатории ОИЯИ	22.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5858-shkolniki-poseshchayut-laboratorii-oiyai	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/22/Заканчивается навигация на Канале имени Москвы.txt	ОД	Заканчивается навигация на Канале имени Москвы	22.10.2018	публицистика	Транспорт	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/transport/5859-navigatsiya-zakonchitsya-cherez-mesyats	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/22/На конференции по ускорителям вручили премию сотрудникам ОИЯИ.txt	Кирилл Свояков	На конференции по ускорителям вручили премию сотрудникам ОИЯИ	22.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5856-na-konferentsii-po-uskoritelyam-vruchili-premiyu-sotrudniku-oiyai	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/22/К межгалактическому полету готовы.txt	Наталия Теряева	К межгалактическому полету готовы	22.10.2018	публицистика	Образование	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obrazovanie/5864-k-mezhgalakticheskomu-poletu-gotovy	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/21/2,5 млн владельцев участков под жилье или дачу снизят налог на имущество.txt	Кирилл Свояков	2,5 млн владельцев участков под жилье или дачу снизят налог на имущество	21.10.2018	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/5850-2-5-mln-vladeltsev-uchastkov-pod-zhile-ili-dachu-snizyat-nalog-na-imushchestvo	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/21/Расширяется список интеллектуальной собственности ОИЯИ.txt	ОД	Расширяется список интеллектуальной собственности ОИЯИ	21.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5857-rasshiryaetsya-spisok-intellektualnoj-sobstvennosti-oiyai	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/21/Азы Интернета. Как научиться видеозвонкам.txt	ОД	Азы Интернета. Как научиться видеозвонкам?	21.10.2018	публицистика	Образование	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obrazovanie/5851-azy-interneta-kak-nauchitsya-videozvonkam	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/20/Дубненский мост проверили на прочность 12 КамАЗов.txt	ОД	Дубненский мост проверили на прочность 12 КамАЗов	20.10.2018	публицистика	Транспорт	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/transport/5861-dubnenskij-most-proverili-na-prochnost-12-kamazov	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/20/В осетинском вузе открыли инфоцентр ОИЯИ.txt	Кирилл Свояков	В осетинском вузе открыли инфоцентр ОИЯИ	20.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5846-v-osetinskom-vuze-otkryli-infotsentr-oiyai	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/20/Россияне выберут имена выдающихся соотечественников для названия аэропортов .txt	"журнал ""Фома"""	Россияне выберут имена выдающихся соотечественников для названия аэропортов 	20.10.2018	публицистика	Культура	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/kultura/5862-rossiyane-vyberut-imena-vydayushchikhsya-sootechestvennikov-dlya-nazvaniya-aeroportov	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/19/Пол-улицы Володарского перекрыто в районе частного сектора.txt	Администрация г. о. Дубна	Пол-улицы Володарского перекрыто в районе частного сектора	19.10.2018	публицистика	Транспорт	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/transport/5860-pol-ulitsy-volodarskogo-perekryto-v-rajone-chastnogo-sektora	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/19/ОАО РАТА на 5 месте среди перевозчиков региона.txt	ОД	"ОАО ""РАТА"" на 5 месте среди перевозчиков региона"	19.10.2018	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/avtobus/5853-oao-rata-na-5-meste-sredi-perevozchikov-regiona	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/19/Дубненские полицейские раскрыли кражу банковской карты.txt	Специалист ОМВД по связям с общественностью И.Л. Михайлова	Дубненские полицейские раскрыли кражу банковской карты	19.10.2018	публицистика	Безопасность	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/proisshestviya/5849-dubnenskie-politsejskie-raskryli-krazhu-bankovskoj-karty	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/19/Вакансии середины октября.txt	ЦЗН г. Дубны	Вакансии середины октября	19.10.2018	публицистика	Профессионал	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/professional/5852-vakansii-serediny-oktyabrya	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/18/Пол-иголки в стоге сена.txt	Татьяна Небольсина	Пол-иголки в стоге сена	18.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5848-pol-igolki-v-stoge-sena	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/18/Заявление на патент примут в любом отделении налоговой.txt	ИФНС №12	Заявление на патент примут в любом отделении налоговой	18.10.2018	публицистика	Экономика	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/ekonomika/5847-zayavlenie-na-patent-primut-v-lyubom-otdelenii-nalogovoj	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/18/Скорбим в связи с трагедией в Керчи.txt	Администрация г. о. Дубна	Скорбим в связи с трагедией в Керчи	18.10.2018	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/5855-skorbim-v-svyazi-s-tragediej-v-kerchi	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/18/Экомарафон по сдаче макулатуры.txt	Администрация г. о. Дубна	Экомарафон по сдаче макулатуры	18.10.2018	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/5842-ekomarafon-po-sdache-makulatury	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/17/Дорожный флешмоб школы №7.txt	И. Л. Михайлова	Дорожный флешмоб школы №7	17.10.2018	публицистика	Образование	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obrazovanie/5844-dorozhnyj-fleshmob-shkoly-7	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/17/Гонка на беговелах в сквере Журавлева.txt	ОД	Гонка на беговелах в сквере Журавлева	17.10.2018	публицистика	Спорт	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/sport/5843-gonka-na-begovelakh-vozle-orbity	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/17/Денис Буцаев «Очень хороший темп развития проектов ОЭЗ «Дубна».txt	ОЭЗ «Дубна»	Денис Буцаев: «Очень хороший темп развития проектов ОЭЗ «Дубна»	17.10.2018	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/5845-denis-butsaev-ochen-khoroshij-temp-razvitiya-proektov-oez-dubna	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/16/Юные футболисты из Дубны вышли во всероссийский финал KIMBERLY CUP.txt	Денис Журавлев	Юные футболисты из Дубны вышли во всероссийский финал KIMBERLY CUP	16.10.2018	публицистика	Спорт	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/sport/5841-yunye-futbolisty-iz-dubny-vyshli-vo-vserossijskij-final-kimberly-cup	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/16/Открыты новые свойства соединений урана.txt	Татьяна Небольсина	Открыты новые свойства соединений урана	16.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5838-otkryty-novye-svojstva-soedinenij-urana	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/16/Поздравление с днем создания службы дознания.txt	ОМВД по г. о. Дубна	Поздравление с днем создания службы дознания	16.10.2018	публицистика	Профессионал	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/professional/5840-pozdravlenie-s-dnem-sozdaniya-sluzhby-doznaniya	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/16/Сводка ДТП середины октября.txt	ОД	Сводка ДТП середины октября	16.10.2018	публицистика	Безопасность	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/proisshestviya/5839-svodka-dtp-serediny-oktyabrya	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/15/ОИЯИ посетили представители монгольской ГК Мон-Атом.txt	Кирилл Свояков	"ОИЯИ посетили представители монгольской ГК ""Мон-Атом"""	15.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5836-oiyai-posetili-predstaviteli-mongolskoj-gk-mon-atom	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/15/О подаче документов на получение госуслуг через МФЦ.txt	МФЦ	О подаче документов на получение госуслуг через МФЦ	15.10.2018	публицистика	Законы	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zakony/5830-o-podache-dokumentov-na-poluchenie-gosuslug-cherez-mfts	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/15/По утрам, надев трусы, не забудьте....txt	Наталия Теряева	По утрам, надев трусы, не забудьте...	15.10.2018	публицистика	Культура	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/kultura/5837-po-utram-nadev-trusy-ne-zabudte	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/15/Ночую там, где меня любят .txt	Александр Ткаченко	Ночую там, где меня любят 	15.10.2018	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/dom/5829-nochuyu-tam-gde-menya-lyubyat	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/14/Налоговый инспектор поясняет. Порядок уплаты налогов на недвижимое имущество несовершеннолетних.txt	ИФНС №12	Налоговый инспектор поясняет. Порядок уплаты налогов на недвижимое имущество несовершеннолетних	14.10.2018	публицистика	Экономика	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/ekonomika/5825-nalogovyj-inspektor-poyasnyaet-poryadok-uplaty-nalogov-na-nedvizhimoe-imushchestvo-nesovershennoletnikh	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/14/О правильном питании официально.txt	Наталья Борозна	О правильном питании официально	14.10.2018	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/eda/5826-o-pravilnom-pitanii-ofitsialno	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/13/Где привиться от гриппа.txt	ОД	Где привиться от гриппа	13.10.2018	публицистика	Здоровье	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zdorove/5834-gde-privitsya-ot-grippa	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/13/ОИЯИ получил патент на элемент защиты газовой системы.txt	Кирилл Свояков	ОИЯИ получил патент на элемент защиты газовой системы	13.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5832-oiyai-poluchil-patent-na-element-zashchity-gazovoj-sistemy	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/13/Три новых резидента.txt	Кирилл Свояков	Три новых резидента	13.10.2018	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/5831-tri-novykh-rezidenta	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/13/Решение по набережной пока не принято.txt	ОД	Решение по набережной пока не принято	13.10.2018	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/5835-deputaty-otkazalis-vydelyat-sredstva-na-neprozrachnyj-proekt	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/12/Директор ЛИТ ОИЯИ получил премию Cisco.txt	Кирилл Свояков	Директор ЛИТ ОИЯИ получил премию Cisco	12.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5833-kompaniya-cisco-nagradila-direktora-lit	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/12/Молодой водитель погиб на трассе Кимры - Дубна 8 октября.txt	ОД	Молодой водитель погиб на трассе Кимры - Дубна 8 октября	12.10.2018	публицистика	Безопасность	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/proisshestviya/5828-molodoj-voditel-pogib-na-trasse-kimry-dubna	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/12/Особая экономическая зона Дубна - трижды лучшая.txt	ОД	"Особая экономическая зона ""Дубна"" - трижды лучшая"	12.10.2018	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/5827-osobaya-ekonomicheskaya-zona-dubna-trizhdy-luchshaya	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/11/Международный турнир по теннису пройдет в Дубне.txt	Наталья Борозна	Международный турнир по теннису пройдет в Дубне	11.10.2018	публицистика	Спорт	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/sport/5821-mezhdunarodnyj-turnir-po-tennisu-projdet-v-dubne	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/11/Статистика преступлений в Дубне.txt	ОД	Статистика преступлений в Дубне	11.10.2018	публицистика	Безопасность	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/proisshestviya/5823-statistika-prestuplenij-v-dubne	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/11/Совместный прием прокурора и главы города.txt	Администрация г. о. Дубна	Совместный прием прокурора и главы города	11.10.2018	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/5824-sovmestnyj-priem-prokurora-i-glavy-goroda	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/11/Всем россиянам станут доступны 20 телеканалов.txt	Кирилл Свояков	Всем россиянам станут доступны 20 телеканалов	11.10.2018	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/dom/5774-vsem-rossiyanam-stanut-dostupny-20-telekanalov	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/10/Не будет работать остановка на Ленинградской.txt	Администрация г. о. Дубна	Не будет работать остановка на Ленинградской	10.10.2018	публицистика	Транспорт	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/transport/5822-ne-budet-rabotat-ostanovka-na-leningradskoj	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/10/В Дубне 4 ребенка пострадали в ДТП в 2018 году.txt	ОГИБДД по г. о. Дубна	В Дубне 4 ребенка пострадали в ДТП в 2018 году	10.10.2018	публицистика	Безопасность	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/proisshestviya/5819-v-dubne-4-rebenka-postradali-v-dtp-v-2018-godu	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/10/Расшифрован важный для эмбрионального развития белок.txt	Татьяна Небольсина	Расшифрован важный для эмбрионального развития белок	10.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5818-rasshifrovan-vazhnyj-dlya-embrionalnogo-razvitiya-belok	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/10/О входе в Дубненский заказник оповестит инфощит.txt	Никита Крутиков	О входе в Дубненский заказник оповестит инфощит	10.10.2018	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/5820-o-vkhode-v-dubnenskij-zakaznik-opovestit-infoshchit	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/9/Конкурс добрых дел для школьников.txt	"Пресс-служба ПАО ""Ростелеком"""	Конкурс добрых дел для школьников	09.10.2018	публицистика	Образование	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obrazovanie/5803-konkurs-dobrykh-del-klassno-byt-khoroshim-2018	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/9/В Дубне отменили одну детскую площадку.txt	ОД	В Дубне отменили одну детскую площадку	09.10.2018	публицистика	ЖКХ	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zhkkh/5817-v-dubne-otmenili-odnu-detskuyu-ploshchadku	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/9/Сводка ДТП лаконичная.txt	ОД	Сводка ДТП лаконичная	09.10.2018	публицистика	Безопасность	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/proisshestviya/5816-svodka-dtp-kratkaya	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/8/Международное совещание по ядерной физике прошло в Южной Корее.txt	Кирилл Свояков	Международное совещание по ядерной физике прошло в Южной Корее	08.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5811-mezhdunarodnoe-soveshchanie-po-yadernoj-fizike-proshlo-v-yuzhnoj-koree	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/8/Опрос по поводу коррупции.txt	ИФНС №12	Опрос по поводу коррупции	08.10.2018	публицистика	Экономика	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/ekonomika/5810-opros-po-povodu-koruptsii	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/8/24 млн из городского бюджета выделят на проект набережной.txt	ОД	24 млн из городского бюджета выделят на проект набережной	08.10.2018	публицистика	Экономика	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/ekonomika/5813-24-mln-iz-gorodskogo-byudzheta-vydelyat-na-proekt-naberezhnoj	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/7/МВД проводит прием граждан.txt	И. Л. Михайлова	МВД проводит прием граждан	07.10.2018	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/44-raznoe/5809-mvd-provodit-priem-grazhdan	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/7/Обученные кубиты найдут железную руду, патологии мозга и далёкие квазары.txt	Татьяна Небольсина	Обученные кубиты найдут железную руду, патологии мозга и далёкие квазары	07.10.2018	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/5805-obuchennye-kubity-najdut-zheleznuyu-rudu-patologii-mozga-i-daljokie-kvazary	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/7/Резидент ОЭЗ Дубна представил российский ИКТ-бизнес на БРИКС.txt	"ОЭЗ ""Дубна"""	"Резидент ОЭЗ ""Дубна"" представил российский ИКТ-бизнес на БРИКС"	07.10.2018	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/5812-rezident-oez-dubna-predstavil-rossijskij-ikt-biznes-na-briks	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
plain/2018/10/6/Требуется администратор баз данных.txt	ЦЗН г. Дубны	Требуется администратор баз данных	06.10.2018	публицистика	Профессионал	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/professional/5815-trebuetsya-administrator-baz-dannykh	Открытая Дубна	2018	газета	Россия	город Дубна, Московская область	ru
